pot,data_type,pot_density,block,col,row,bench,soil,genotype,5E_soil_trts,time_point,soil_probes,leaf_temp_probe,plant_date,lf_1_03.24_no_germ,lf_2_03.24_no_germ,avg_lf_03.24_no_germ
4,phys,3,1,1,2,1,BLANK,R500,No inoculation,wk2,,,3/6/17,3.858372697,3.022054278,3.439800168
5,phys,3,1,1,1,1,5E,R500,Live,wk2,,,3/6/17,3.866223438,2.643611691,3.249530717
10,phys,3,1,2,1,1,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.854447326,2.844608905,2.85160156
13,phys,3,1,3,3,1,5E,FPsc,Disrupted,wk2,,,3/6/17,3.287780659,2.611275572,2.95160156
16,phys,3,1,4,5,1,5E,FPsc,Live,wk2,,,3/6/17,2.558372697,1.555387612,2.056466835
18,phys,3,1,4,3,1,5E,FPsc,Disrupted,wk4,soil_moisture_temp,leaf_temp,3/6/17,2.754447326,2.844608905,2.80160156
23,phys,2,1,5,3,1,5E,FPsc,Live,wk4,,,3/6/17,3.337780659,2.727942239,3.034934894
24,phys,3,1,5,2,1,BLANK,FPsc,No inoculation,wk4,,,3/6/17,2.587780659,2.444608905,2.518268227
26,phys,3,1,1,6,1,5E,R500,Disrupted,wk4,soil_moisture_temp,leaf_temp,3/6/17,4.49170603,3.422054278,3.956466835
35,phys,3,1,3,7,1,BLANK,R500,No inoculation,wk4,,,3/6/17,3.487780659,3.011275572,3.25160156
38,phys,3,1,4,6,1,5E,R500,Disrupted,wk2,soil_moisture_temp,,3/6/17,3.766223438,3.443611691,3.599530717
44,phys,3,1,5,8,1,5E,R500,Live,wk4,,,3/6/17,4.166223438,3.343611691,3.749530717
48,RNAseq,3,2,1,2,1,5E,FPsc,Disrupted,wk4,,,3/6/17,2.29170603,2.322054278,2.306466835
50,RNAseq,3,2,2,5,1,5E,R500,Disrupted,wk4,,,3/6/17,3.499556772,3.610278358,3.549530717
52,RNAseq,3,2,2,3,1,5E,FPsc,Live,wk2,,,3/6/17,2.787780659,3.077942239,2.934934894
53,RNAseq,3,2,2,2,1,BLANK,FPsc,No inoculation,wk4,,,3/6/17,2.421113993,2.311275572,2.368268227
55,RNAseq,3,2,3,5,1,5E,R500,Live,wk2,,,3/6/17,4.199556772,3.310278358,3.749530717
59,RNAseq,3,2,3,1,1,5E,R500,Disrupted,wk2,,,3/6/17,3.266223438,3.476945024,3.366197384
63,RNAseq,3,2,4,2,1,BLANK,R500,No inoculation,wk4,,,3/6/17,3.328964734,2.532832985,2.927998776
64,RNAseq,3,2,4,1,1,5E,FPsc,Disrupted,wk2,,,3/6/17,2.721113993,2.344608905,2.534934894
65,RNAseq,3,2,5,5,1,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.754447326,2.944608905,2.85160156
72,RNAseq,3,2,1,8,1,5E,FPsc,Live,wk4,,,3/6/17,3.621113993,3.577942239,3.60160156
73,RNAseq,3,2,1,9,1,5E,R500,Live,wk4,,,3/6/17,3.399556772,2.810278358,3.099530717
82,RNAseq,3,2,4,6,1,BLANK,R500,No inoculation,wk2,,,3/6/17,4.428964734,3.699499651,4.061332109
93,phys,3,3,1,1,1,5E,R500,Live,wk4,,,3/6/17,3.932890105,3.543611691,3.732864051
97,phys,3,3,2,2,1,5E,FPsc,Disrupted,wk4,,,3/6/17,1.999556772,1.843611691,1.916197384
98,phys,3,3,2,1,1,5E,FPsc,Live,wk4,,,3/6/17,2.528964734,1.999499651,2.261332109
107,phys,3,3,4,2,1,BLANK,R500,No inoculation,wk2,,,3/6/17,3.166223438,2.710278358,2.932864051
109,phys,3,3,5,5,1,BLANK,FPsc,No inoculation,wk4,,,3/6/17,3.121113993,2.711275572,2.918268227
114,phys,3,3,1,6,1,5E,R500,Disrupted,wk4,soil_moisture_temp,leaf_temp,3/6/17,4.666223438,3.710278358,4.182864051
115,phys,3,3,1,7,1,5E,FPsc,Live,wk2,,,3/6/17,4.132890105,2.543611691,3.332864051
117,phys,3,3,1,9,1,5E,FPsc,Disrupted,wk2,,,3/6/17,2.699556772,2.110278358,2.399530717
120,phys,3,3,2,8,1,5E,R500,Disrupted,wk2,,,3/6/17,4.199556772,3.176945024,3.682864051
123,phys,3,3,3,7,1,BLANK,R500,No inoculation,wk4,,,3/6/17,4.254447326,3.411275572,3.834934894
126,phys,3,3,4,6,1,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.758372697,2.288720945,2.523133502
130,phys,3,3,5,6,1,5E,R500,Live,wk2,,,3/6/17,4.499556772,3.743611691,4.116197384
137,RNAseq,3,4,1,1,1,5E,R500,Disrupted,wk4,,,3/6/17,3.232890105,2.810278358,3.016197384
141,RNAseq,3,4,2,2,1,5E,FPsc,Disrupted,wk2,,,3/6/17,2.032890105,1.743611691,1.882864051
152,RNAseq,2,4,4,1,1,5E,FPsc,Live,wk4,,,3/6/17,2.821113993,1.911275572,2.368268227
153,RNAseq,3,4,5,5,1,BLANK,R500,No inoculation,wk2,,,3/6/17,4.087780659,3.211275572,3.65160156
154,RNAseq,3,4,5,4,1,5E,R500,Disrupted,wk2,,,3/6/17,3.766223438,3.410278358,3.582864051
162,RNAseq,3,4,2,6,1,5E,R500,Live,wk2,,,3/6/17,4.054447326,3.544608905,3.80160156
166,RNAseq,3,4,3,6,1,BLANK,R500,No inoculation,wk4,,,3/6/17,3.366223438,2.910278358,3.132864051
168,RNAseq,3,4,3,8,1,BLANK,FPsc,No inoculation,wk4,,,3/6/17,3.754447326,3.177942239,3.468268227
169,RNAseq,3,4,3,9,1,5E,FPsc,Disrupted,wk4,,,3/6/17,3.59170603,3.222054278,3.406466835
170,RNAseq,3,4,4,6,1,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.954447326,2.777942239,2.868268227
172,RNAseq,3,4,4,8,1,5E,R500,Live,wk4,,,3/6/17,4.921113993,4.111275572,4.518268227
174,RNAseq,3,4,5,6,1,5E,FPsc,Live,wk2,,,3/6/17,3.562298068,2.832832985,3.194665443
178,RNAseq,3,5,1,4,2,BLANK,FPsc,No inoculation,wk2,,,3/6/17,3.021113993,2.677942239,2.85160156
179,RNAseq,3,5,1,3,2,5E,R500,Disrupted,wk2,,,3/6/17,4.287780659,3.144608905,3.718268227
181,RNAseq,3,5,1,1,2,5E,FPsc,Disrupted,wk2,,,3/6/17,2.528964734,2.199499651,2.361332109
185,RNAseq,3,5,2,2,2,BLANK,R500,No inoculation,wk4,,,3/6/17,4.254447326,2.677942239,3.468268227
193,RNAseq,3,5,4,4,2,5E,R500,Disrupted,wk4,,,3/6/17,4.554447326,3.844608905,4.20160156
196,RNAseq,3,5,4,1,2,5E,FPsc,Disrupted,wk4,,,3/6/17,2.732890105,2.343611691,2.532864051
201,RNAseq,3,5,5,1,2,5E,FPsc,Live,wk4,,,3/6/17,3.066223438,3.376945024,3.216197384
202,RNAseq,3,5,1,6,2,BLANK,R500,No inoculation,wk2,,,3/6/17,4.154447326,2.644608905,3.40160156
210,RNAseq,3,5,3,6,2,5E,R500,Live,wk4,,,3/6/17,4.954447326,3.977942239,4.468268227
211,RNAseq,3,5,3,7,2,BLANK,FPsc,No inoculation,wk4,,,3/6/17,2.49170603,2.955387612,2.723133502
213,RNAseq,3,5,3,9,2,5E,R500,Live,wk2,,,3/6/17,5.266223438,3.776945024,4.516197384
218,RNAseq,3,5,5,6,2,5E,FPsc,Live,wk2,,,3/6/17,3.854447326,3.511275572,3.684934894
228,Phys,3,6,2,3,2,BLANK,FPsc,No inoculation,wk4,,,3/6/17,3.058372697,2.855387612,2.956466835
231,Phys,3,6,3,5,2,5E,FPsc,Disrupted,wk2,,,3/6/17,2.766223438,2.910278358,2.832864051
238,Phys,3,6,4,3,2,5E,R500,Disrupted,wk2,,,3/6/17,4.862298068,4.199499651,4.527998776
241,Phys,3,6,5,5,2,5E,R500,Live,wk4,,,3/6/17,5.762298068,4.666166318,5.211332109
242,Phys,3,6,5,4,2,5E,FPsc,Live,wk2,,,3/6/17,3.399556772,3.643611691,3.516197384
248,Phys,3,6,1,8,2,5E,R500,Disrupted,wk4,,,3/6/17,4.987780659,4.244608905,4.618268227
250,Phys,3,6,2,6,2,BLANK,FPsc,No inoculation,wk2,,,3/6/17,3.054447326,3.244608905,3.15160156
251,Phys,3,6,2,7,2,BLANK,R500,No inoculation,wk4,,,3/6/17,4.087780659,3.144608905,3.618268227
254,Phys,3,6,3,6,2,5E,R500,Live,wk2,,,3/6/17,5.054447326,4.377942239,4.718268227
255,Phys,3,6,3,7,2,5E,FPsc,Disrupted,wk4,,,3/6/17,2.958372697,3.155387612,3.056466835
257,Phys,3,6,3,9,2,BLANK,R500,No inoculation,wk2,,,3/6/17,5.054447326,4.311275572,4.684934894
263,Phys,3,6,5,7,2,5E,FPsc,Live,wk4,,,3/6/17,3.321113993,3.877942239,3.60160156
266,RNAseq,3,7,1,4,2,5E,R500,Live,wk2,,,3/6/17,5.528964734,4.366166318,4.944665443
269,RNAseq,3,7,1,1,2,5E,R500,Disrupted,wk2,,,3/6/17,4.232890105,3.943611691,4.082864051
272,RNAseq,3,7,2,3,2,5E,FPsc,Disrupted,wk2,,,3/6/17,3.032890105,2.810278358,2.916197384
278,RNAseq,3,7,3,2,2,BLANK,R500,No inoculation,wk2,,,3/6/17,3.921113993,2.911275572,3.418268227
281,RNAseq,3,7,4,4,2,5E,R500,Live,wk4,,,3/6/17,4.758372697,4.122054278,4.439800168
284,RNAseq,3,7,4,1,2,5E,FPsc,Live,wk4,,,3/6/17,2.895631401,2.766166318,2.827998776
291,RNAseq,3,7,1,7,2,BLANK,FPsc,No inoculation,wk4,,,3/6/17,3.021113993,2.911275572,2.968268227
292,RNAseq,3,7,1,8,2,5E,FPsc,Live,wk2,,,3/6/17,2.925039363,3.355387612,3.139800168
296,RNAseq,3,7,2,8,2,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.095631401,3.066166318,2.577998776
297,RNAseq,3,7,2,9,2,5E,R500,Disrupted,wk4,,,3/6/17,4.925039363,3.822054278,4.373133502
299,RNAseq,3,7,3,7,2,BLANK,R500,No inoculation,wk4,,,3/6/17,4.687780659,3.277942239,3.984934894
302,RNAseq,3,7,4,6,2,5E,FPsc,Disrupted,wk4,,,3/6/17,3.217188622,2.867163532,3.046736286
311,Phys,3,8,1,3,2,5E,R500,Disrupted,wk2,,,3/6/17,3.566223438,3.310278358,3.432864051
320,Phys,3,8,3,4,2,5E,R500,Live,wk4,,,3/6/17,5.121113993,4.311275572,4.718268227
325,Phys,3,8,4,4,2,5E,R500,Disrupted,wk4,,,3/6/17,4.454447326,3.711275572,4.084934894
326,Phys,3,8,4,3,2,5E,FPsc,Disrupted,wk2,,,3/6/17,2.595631401,2.499499651,2.544665443
327,Phys,3,8,4,2,2,5E,FPsc,Live,wk2,,,3/6/17,3.049556772,3.232832985,3.261332109
330,Phys,3,8,5,4,2,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.462298068,2.266166318,2.361332109
331,Phys,3,8,5,3,2,BLANK,R500,No inoculation,wk2,,,3/6/17,3.762298068,2.932832985,3.344665443
339,Phys,3,8,2,7,2,5E,R500,Live,wk2,soil_moisture_temp,,3/6/17,4.821113993,4.311275572,4.568268227
341,Phys,3,8,2,9,2,BLANK,FPsc,No inoculation,wk4,,,3/6/17,3.321113993,3.611275572,3.468268227
342,Phys,3,8,3,6,2,5E,FPsc,Live,wk4,,,3/6/17,3.021113993,3.244608905,3.134934894
345,Phys,3,8,3,9,2,BLANK,R500,No inoculation,wk4,,,3/6/17,4.487780659,3.811275572,4.15160156
352,Phys,3,8,5,8,2,5E,FPsc,Disrupted,wk4,,,3/6/17,3.721113993,3.811275572,3.768268227
356,phys,3,9,1,2,3,BLANK,R500,No inoculation,wk2,,,3/6/17,4.699556772,3.610278358,4.149530717
359,phys,3,9,2,4,3,5E,R500,Live,wk4,,,3/6/17,5.428964734,4.166166318,4.794665443
364,phys,3,9,3,4,3,5E,FPsc,Live,wk2,,,3/6/17,4.021113993,3.877942239,3.95160156
369,phys,3,9,4,4,3,5E,R500,Disrupted,wk2,,,3/6/17,5.032890105,4.543611691,4.782864051
370,phys,3,9,4,3,3,5E,FPsc,Live,wk4,,,3/6/17,3.462298068,3.732832985,3.594665443
373,phys,3,9,5,5,3,BLANK,FPsc,No inoculation,wk2,,,3/6/17,4.154447326,3.077942239,3.618268227
377,phys,3,9,5,1,3,5E,R500,Disrupted,wk4,,,3/6/17,4.466223438,3.043611691,3.749530717
380,phys,2,9,1,8,3,5E,FPsc,Disrupted,wk4,,,3/6/17,2.549556772,2.110278358,2.324530717
383,phys,3,9,2,7,3,5E,FPsc,Disrupted,wk2,,,3/6/17,3.032890105,2.043611691,2.532864051
385,phys,3,9,2,9,3,5E,R500,Live,wk2,,,3/6/17,4.266223438,3.143611691,3.699530717
386,phys,3,9,3,6,3,BLANK,R500,No inoculation,wk4,,,3/6/17,4.432890105,3.510278358,3.966197384
391,phys,3,9,4,7,3,BLANK,FPsc,No inoculation,wk4,,,3/6/17,3.162298068,3.366166318,3.261332109
399,RNAseq,3,10,1,3,3,5E,FPsc,Disrupted,wk2,,,3/6/17,3.462298068,2.499499651,2.977998776
403,RNAseq,3,10,2,4,3,BLANK,R500,No inoculation,wk4,,,3/6/17,4.099556772,3.143611691,3.616197384
406,RNAseq,3,10,2,1,3,5E,R500,Live,wk2,,,3/6/17,4.899556772,3.743611691,4.316197384
417,RNAseq,3,10,5,5,3,5E,R500,Live,wk4,,,3/6/17,5.128964734,4.032832985,4.577998776
419,RNAseq,3,10,5,3,3,5E,R500,Disrupted,wk4,,,3/6/17,5.028964734,4.066166318,4.544665443
420,RNAseq,3,10,5,2,3,5E,FPsc,Live,wk4,soil_moisture_temp,,3/6/17,3.758372697,3.488720945,3.623133502
424,RNAseq,3,10,1,8,3,BLANK,R500,No inoculation,wk2,,,3/6/17,3.732890105,3.043611691,3.382864051
426,RNAseq,3,10,2,6,3,5E,FPsc,Disrupted,wk4,,,3/6/17,2.562298068,2.832832985,2.694665443
427,RNAseq,3,10,2,7,3,BLANK,FPsc,No inoculation,wk4,,,3/6/17,3.49170603,2.988720945,3.239800168
428,RNAseq,3,10,2,8,3,5E,FPsc,Live,wk2,,,3/6/17,3.158372697,2.922054278,3.039800168
432,RNAseq,3,10,3,8,3,5E,R500,Disrupted,wk2,,,3/6/17,3.899556772,3.010278358,3.449530717
435,RNAseq,3,10,4,7,3,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.825039363,2.555387612,2.689800168
444,phys,3,11,1,2,3,BLANK,R500,No inoculation,wk2,,,3/6/17,5.332890105,4.243611691,4.782864051
445,phys,3,11,1,1,3,BLANK,FPsc,No inoculation,wk4,,,3/6/17,3.621113993,3.444608905,3.534934894
449,phys,3,11,2,2,3,5E,R500,Disrupted,wk4,,,3/6/17,5.19170603,4.222054278,4.706466835
451,phys,3,11,3,5,3,5E,FPsc,Disrupted,wk4,,,3/6/17,3.387780659,2.811275572,3.10160156
453,phys,3,11,3,3,3,5E,FPsc,Disrupted,wk2,,,3/6/17,3.354447326,3.911275572,3.634934894
455,phys,3,11,3,1,3,BLANK,FPsc,No inoculation,wk2,,,3/6/17,2.821113993,2.511275572,2.668268227
461,phys,3,11,5,5,3,5E,R500,Live,wk2,,,3/6/17,3.966223438,4.043611691,3.999530717
462,phys,3,11,5,4,3,BLANK,R500,No inoculation,wk4,,,3/6/17,5.154447326,5.011275572,5.084934894
463,phys,3,11,5,3,3,5E,R500,Disrupted,wk2,,,3/6/17,4.462298068,3.932832985,4.194665443
473,phys,3,11,2,9,3,5E,FPsc,Live,wk2,,,3/6/17,2.932890105,3.010278358,2.966197384
477,phys,3,11,3,9,3,5E,R500,Live,wk4,,,3/6/17,4.232890105,3.410278358,3.816197384
482,phys,3,11,5,6,3,5E,FPsc,Live,wk4,soil_moisture_temp,leaf_temp,3/6/17,4.495631401,3.066166318,3.777998776
485,RNAseq,3,12,1,5,3,5E,R500,Live,wk2,,,3/6/17,5.499556772,4.976945024,5.232864051
494,RNAseq,3,12,2,1,3,BLANK,FPsc,No inoculation,wk4,,,3/6/17,3.221113993,2.711275572,2.968268227
504,RNAseq,3,12,4,1,3,5E,R500,Disrupted,wk2,,,3/6/17,4.921113993,3.777942239,4.35160156
505,RNAseq,3,12,5,5,3,5E,R500,Disrupted,wk4,,,3/6/17,4.732890105,4.076945024,4.399530717
508,RNAseq,3,12,5,2,3,BLANK,FPsc,No inoculation,wk2,,,3/6/17,3.021113993,2.377942239,2.70160156
509,RNAseq,3,12,5,1,3,5E,R500,Live,wk4,,,3/6/17,5.121113993,4.477942239,4.80160156
511,RNAseq,3,12,1,7,3,BLANK,R500,No inoculation,wk4,,,3/6/17,4.699556772,3.843611691,4.266197384
513,RNAseq,3,12,1,9,3,BLANK,R500,No inoculation,wk2,,,3/6/17,4.066223438,3.576945024,3.816197384
514,RNAseq,3,12,2,6,3,5E,FPsc,Live,wk4,,,3/6/17,2.995631401,3.599499651,3.294665443
517,RNAseq,3,12,2,9,3,5E,FPsc,Disrupted,wk2,,,3/6/17,3.699556772,2.943611691,3.316197384
523,RNAseq,3,12,4,7,3,5E,FPsc,Live,wk2,,,3/6/17,3.699556772,3.376945024,3.532864051
525,RNAseq,3,12,4,9,3,5E,FPsc,Disrupted,wk4,,,3/6/17,3.066223438,2.376945024,2.716197384