metabolite,p.value.trt,p.value.leaf,tissue,FDR.trt,FDR.leaf,sig.both
met_per_mg_leaf_xylulose NIST,0.7214667535042529,0.19965250849111082,leaf,0.9016650121715104,0.5760465818759919,FALSE
met_per_mg_leaf_xylose,0.6290274954053328,0.39254568639725784,leaf,0.8712913912168124,0.7676448978435264,FALSE
met_per_mg_leaf_xylonic acid isomer,0.08055371639287529,0.124007605628223,leaf,0.4802854619903761,0.4279478155013186,FALSE
met_per_mg_leaf_xylonic acid,0.6048135091126876,0.3598617330023277,leaf,0.8712913912168124,0.7489722501497669,FALSE
met_per_mg_leaf_xanthine,0.7899859082053109,0.9972051306630372,leaf,0.9309598010580195,0.9972051306630372,FALSE
met_per_mg_leaf_vanillic acid,0.14078037559810797,0.36231445935919815,leaf,0.5386379588101522,0.7489722501497669,FALSE
met_per_mg_leaf_valine,0.07866877000718064,0.0036008098143146287,leaf,0.4802854619903761,0.1456845971615751,FALSE
met_per_mg_leaf_uridine,0.546813393649822,0.18564005072362608,leaf,0.8712913912168124,0.5537737106331897,FALSE
met_per_mg_leaf_urea,0.13769708858645277,0.3558710860687916,leaf,0.5386379588101522,0.7489722501497669,FALSE
met_per_mg_leaf_uracil,0.7125017947778824,0.018278230663734733,leaf,0.9016650121715104,0.22875438327663908,FALSE
met_per_mg_leaf_UDP-N-acetylglucosamine,0.2781449092287992,0.29386992379121973,leaf,0.7405548915459944,0.7151720667632413,FALSE
met_per_mg_leaf_tyrosine,0.9094225268415548,0.029106770070076803,leaf,0.981953157816648,0.22875438327663908,FALSE
met_per_mg_leaf_tryptophan,0.6758019488071605,0.04000656329993429,leaf,0.8952146821634348,0.25146982645672983,FALSE
met_per_mg_leaf_tocopherol alpha-,0.8389310387849385,0.13804707274159103,leaf,0.9470470151512713,0.44175063277309135,FALSE
met_per_mg_leaf_thymine,0.6776209153302155,0.5609309828454979,leaf,0.8952146821634348,0.8733770295700142,FALSE
met_per_mg_leaf_threonine,0.14066442691982384,0.02309347323007396,leaf,0.5386379588101522,0.22875438327663908,FALSE
met_per_mg_leaf_threonic acid,0.4640285178440614,0.04978768003872501,leaf,0.8644348440773273,0.2759366015208334,FALSE
met_per_mg_leaf_tagatose,0.4392434833801382,0.13649657848513083,leaf,0.8644348440773273,0.44175063277309135,FALSE
met_per_mg_leaf_sucrose,0.8754347512352506,0.5784322614153583,leaf,0.9629782263587757,0.8733770295700142,FALSE
met_per_mg_leaf_succinic acid,0.7877289362975547,0.4875044271168296,leaf,0.9309598010580195,0.8330172735200195,FALSE
met_per_mg_leaf_stigmasterol,0.18531133877087833,0.9612847410652418,leaf,0.6412644054728707,0.9803067167814137,FALSE
met_per_mg_leaf_stearic acid,0.04144021971994716,0.9609732570554531,leaf,0.4802854619903761,0.9803067167814137,FALSE
met_per_mg_leaf_spermidine,0.7136439212594071,0.7733978228131181,leaf,0.9016650121715104,0.9000220854524917,FALSE
met_per_mg_leaf_sinapinic acid,0.23981189771201478,0.06825545532036076,leaf,0.7034482332885766,0.3197559327588092,FALSE
met_per_mg_leaf_shikimic acid,0.5754607470704234,0.21666251214578727,leaf,0.8712913912168124,0.599088813942422,FALSE
met_per_mg_leaf_serine,0.5569609685583845,0.7392179393294993,leaf,0.8712913912168124,0.9000220854524917,FALSE
met_per_mg_leaf_saccharic acid,0.6128612480393535,0.37916161539767135,leaf,0.8712913912168124,0.7583232307953427,FALSE
met_per_mg_leaf_ribose,0.47655410562943146,0.004673226840288258,leaf,0.8684519470701683,0.1456845971615751,FALSE
met_per_mg_leaf_ribonic acid,0.6819781026271581,0.03528057239809706,leaf,0.8952146821634348,0.24837522968260328,FALSE
met_per_mg_leaf_ribitol,0.8814398475878795,0.4493002193822365,leaf,0.9635615725184273,0.8054252574234587,FALSE
met_per_mg_leaf_raffinose,0.6399607827817588,0.621733532701435,leaf,0.8731247889115469,0.8948087218812877,FALSE
met_per_mg_leaf_quinic acid,0.07452598533557149,0.748284234879323,leaf,0.4802854619903761,0.9000220854524917,FALSE
met_per_mg_leaf_pyruvic acid,0.5614803615358014,0.23265082796148026,leaf,0.8712913912168124,0.6204022078972806,FALSE
met_per_mg_leaf_pyrrole-2-carboxylic acid,0.27322621287448956,0.005483571363606841,leaf,0.7405548915459944,0.1456845971615751,FALSE
met_per_mg_leaf_putrescine,0.4665983533371937,0.16080487047472647,leaf,0.8644348440773273,0.5053867357777118,FALSE
met_per_mg_leaf_pseudo uridine,0.3386903260161789,0.012067954811008435,leaf,0.7843354918269406,0.19748548567024632,FALSE
"met_per_mg_leaf_propane-1,3-diol NIST",0.1937519489282136,0.7579007855553289,leaf,0.6434026983276527,0.9000220854524917,FALSE
met_per_mg_leaf_proline,0.06858263070779837,0.46884658819957004,leaf,0.4802854619903761,0.8169999952784587,FALSE
met_per_mg_leaf_phytol,0.3007853000142641,0.8671085052312868,leaf,0.7435090953712425,0.9362643982865427,FALSE
met_per_mg_leaf_phosphate,0.8555708830059781,0.7336821871300476,leaf,0.9470470151512713,0.9000220854524917,FALSE
met_per_mg_leaf_phenylpyruvate,0.7329174124328901,0.5855595993708049,leaf,0.9084046801985116,0.8733770295700142,FALSE
met_per_mg_leaf_phenylethylamine,0.01793317415724455,0.4831376902758906,leaf,0.4802854619903761,0.8330172735200195,FALSE
met_per_mg_leaf_phenylalanine,0.6866703527958165,0.02647323995369027,leaf,0.8952146821634348,0.22875438327663908,FALSE
met_per_mg_leaf_phenol,0.0969467955696784,0.4464851836614596,leaf,0.4985913597624184,0.8054252574234587,FALSE
met_per_mg_leaf_pentitol,0.03835317087509608,0.08341063492394646,leaf,0.4802854619903761,0.3414016685259204,FALSE
met_per_mg_leaf_pelargonic acid,0.18840834410144658,0.7780460449976108,leaf,0.6412644054728707,0.9000220854524917,FALSE
met_per_mg_leaf_palmitic acid,0.11040148106923053,0.8040106482498355,leaf,0.508352991369048,0.9000220854524917,FALSE
met_per_mg_leaf_oxoproline,0.18946448343516634,0.16956068596872345,leaf,0.6412644054728707,0.5145289781119884,FALSE
met_per_mg_leaf_ornithine,0.5082417644785644,0.2519719629816866,leaf,0.8684519470701683,0.6521627277173065,FALSE
met_per_mg_leaf_oleic acid,0.16638857440133245,0.22354440624228994,leaf,0.5976405937680512,0.6052894692098928,FALSE
met_per_mg_leaf_octanol NIST,0.10697458039383055,0.7560226144009556,leaf,0.508352991369048,0.9000220854524917,FALSE
met_per_mg_leaf_octadecanol,0.08334165923389213,0.9374425923309082,leaf,0.4802854619903761,0.9739796681941766,FALSE
met_per_mg_leaf_nicotinamide,0.312596273412115,0.028931782601392897,leaf,0.7435090953712425,0.22875438327663908,FALSE
met_per_mg_leaf_N-acetylornithine,0.36082971214407145,0.9244873948629505,leaf,0.8247536277578775,0.9729579074930695,FALSE
met_per_mg_leaf_N-acetylmannosamine,0.8255981712184663,0.294020178687244,leaf,0.9435407671068187,0.7151720667632413,FALSE
met_per_mg_leaf_n-acetyl-d-hexosamine,0.5932862543985472,0.0667062301488628,leaf,0.8712913912168124,0.3197559327588092,FALSE
met_per_mg_leaf_myristic acid,0.546745321578918,0.6359044793020139,leaf,0.8712913912168124,0.8953535068572355,FALSE
met_per_mg_leaf_myo-inositol,0.7843661595717961,0.6485055729387483,leaf,0.9309598010580195,0.898716384545037,FALSE
met_per_mg_leaf_mucic acid,0.2120093172182952,0.940775815869375,leaf,0.6782191344168877,0.9739796681941766,FALSE
met_per_mg_leaf_methyl O-D-galactopyranoside,0.9388761586857581,0.08908866906196787,leaf,0.9897297245607107,0.3426161930830524,FALSE
met_per_mg_leaf_methionine sulfoxide,0.31261177873563606,0.1208329878077966,leaf,0.7435090953712425,0.42644627950757674,FALSE
met_per_mg_leaf_methionine,0.844933222498491,0.04902903617256467,leaf,0.9470470151512713,0.2759366015208334,FALSE
met_per_mg_leaf_methanolphosphate,0.996927616462273,0.7836392921172453,leaf,0.996927616462273,0.9000220854524917,FALSE
met_per_mg_leaf_melibiose,0.4197273963386704,0.018252732257894696,leaf,0.8644348440773273,0.22875438327663908,FALSE
met_per_mg_leaf_melezitose,0.33083121997747866,0.9937273984246832,leaf,0.7763505962138166,0.9972051306630372,FALSE
met_per_mg_leaf_maltotriose,0.43146052854135364,0.9635969431999124,leaf,0.8644348440773273,0.9803067167814137,FALSE
met_per_mg_leaf_maltose,0.22487857238256373,0.31940102970252643,leaf,0.6783092177031591,0.7274152293943644,FALSE
met_per_mg_leaf_malonic acid,0.10782783812394624,0.5835992219631667,leaf,0.508352991369048,0.8733770295700142,FALSE
met_per_mg_leaf_malic acid,0.008265024169020781,0.55814357814801,leaf,0.4802854619903761,0.8733770295700142,FALSE
met_per_mg_leaf_maleimide,0.6091475508577007,0.19241414001852983,leaf,0.8712913912168124,0.5644148107210208,FALSE
met_per_mg_leaf_maleic acid,0.7475735700625504,0.507459864153682,leaf,0.9200905477692929,0.8425748687834721,FALSE
met_per_mg_leaf_lyxose,0.5951208104706134,0.611463427463062,leaf,0.8712913912168124,0.8948087218812877,FALSE
met_per_mg_leaf_lyxitol,0.4331302784065836,0.8079743721675778,leaf,0.8644348440773273,0.9000220854524917,FALSE
met_per_mg_leaf_lysine,0.9539489669314444,0.029894038723651695,leaf,0.9897297245607107,0.22875438327663908,FALSE
met_per_mg_leaf_linolenic acid,0.9069897729457757,0.8855695139318674,leaf,0.981953157816648,0.9503672832439554,FALSE
met_per_mg_leaf_linoleic acid,0.2935415810974472,0.7456207892020975,leaf,0.7435090953712425,0.9000220854524917,FALSE
met_per_mg_leaf_lignoceric acid,0.13658367691706244,0.7043775981927973,leaf,0.5386379588101522,0.9000220854524917,FALSE
met_per_mg_leaf_levoglucosan,0.7036032153007088,0.3353319346621605,leaf,0.9016650121715104,0.7470686139308892,FALSE
met_per_mg_leaf_leucine,0.43673743045984903,0.005794273750744465,leaf,0.8644348440773273,0.1456845971615751,FALSE
met_per_mg_leaf_lactulose,0.07928840323997925,0.41983415898832077,leaf,0.4802854619903761,0.7877377582285084,FALSE
met_per_mg_leaf_lactic acid,0.12036572809697851,0.7151862923700327,leaf,0.5231604513415528,0.9000220854524917,FALSE
met_per_mg_leaf_isothreonic acid,0.618287475048079,0.4022323085131527,leaf,0.8712913912168124,0.7779438054759877,FALSE
met_per_mg_leaf_isoribose,0.5062725724151516,0.6987443628597749,leaf,0.8684519470701683,0.9000220854524917,FALSE
met_per_mg_leaf_isoleucine,0.0782424604258574,0.003205434053646945,leaf,0.4802854619903761,0.1456845971615751,FALSE
met_per_mg_leaf_isohexonic acid,0.7762864295064416,0.38607304009923804,leaf,0.9309598010580195,0.7634702815445606,FALSE
met_per_mg_leaf_isocitric acid,0.5039814640503011,0.2971613724608471,leaf,0.8684519470701683,0.7151720667632413,FALSE
met_per_mg_leaf_inulotriose,0.45377848315867997,0.676398272297356,leaf,0.8644348440773273,0.9000220854524917,FALSE
met_per_mg_leaf_inositol-4-monophosphate,0.626039098989879,0.6305717541420253,leaf,0.8712913912168124,0.8950050703951327,FALSE
met_per_mg_leaf_hypoxanthine,0.853726991821176,0.04182396560242665,leaf,0.9470470151512713,0.25382820503541687,FALSE
met_per_mg_leaf_hydroxylamine,0.22724141530943842,0.4387302760944758,leaf,0.6783092177031591,0.804338839506539,FALSE
met_per_mg_leaf_hydroxycarbamate NIST,0.9855254629046757,0.6627766958824389,leaf,0.996927616462273,0.9000220854524917,FALSE
met_per_mg_leaf_homoserine,0.1126464014965504,0.009215726222111777,leaf,0.508352991369048,0.18021864612129698,FALSE
met_per_mg_leaf_homoglutamine,0.08469499238711024,0.3482387144418212,leaf,0.4802854619903761,0.7489722501497669,FALSE
met_per_mg_leaf_homocystine,0.2812300839981276,0.2661104547806333,leaf,0.7405548915459944,0.6787744933534993,FALSE
met_per_mg_leaf_hexose-6-phosphate,0.6336664663395,0.07982973835836829,leaf,0.8712913912168124,0.3414016685259204,FALSE
met_per_mg_leaf_heptadecanoic acid,0.39767474603147024,0.6735077762940543,leaf,0.8535457963602289,0.9000220854524917,FALSE
met_per_mg_leaf_guanosine,0.45803449383131567,0.836215373311513,leaf,0.8644348440773273,0.9141236379057534,FALSE
met_per_mg_leaf_guanine,0.5996159863898217,0.012342842854390395,leaf,0.8712913912168124,0.19748548567024632,FALSE
met_per_mg_leaf_glycyl tyrosine,0.5049211915624088,0.7347918064268117,leaf,0.8684519470701683,0.9000220854524917,FALSE
met_per_mg_leaf_glycolic acid,0.43815606206744795,0.2873814368221336,leaf,0.8644348440773273,0.7151720667632413,FALSE
met_per_mg_leaf_glycine,0.035677614517419,0.12114951122374339,leaf,0.4802854619903761,0.42644627950757674,FALSE
met_per_mg_leaf_glycerol-alpha-phosphate,0.46354166516294737,0.05386953423997348,leaf,0.8644348440773273,0.27885405959515686,FALSE
met_per_mg_leaf_glycerol-3-galactoside,0.12425215956073175,0.4202875200879419,leaf,0.5231604513415528,0.7877377582285084,FALSE
met_per_mg_leaf_glycerol,0.9425041216701179,0.31069181182541894,leaf,0.9897297245607107,0.7194968273851807,FALSE
met_per_mg_leaf_glyceric acid,0.25028358700914105,0.03291547969867136,leaf,0.7104824405420779,0.2413801844569233,FALSE
met_per_mg_leaf_glutamine,0.5972769370112889,0.4977997844071057,leaf,0.8712913912168124,0.8424304043812558,FALSE
met_per_mg_leaf_glutamic acid,0.37363649542940713,0.8019487293037031,leaf,0.8324053569060209,0.9000220854524917,FALSE
met_per_mg_leaf_glucose-6-phosphate,0.3072036835793582,0.0054606174423654265,leaf,0.7435090953712425,0.1456845971615751,FALSE
met_per_mg_leaf_glucose-1-phosphate,0.22738774911639992,0.365975076777727,leaf,0.6783092177031591,0.7489722501497669,FALSE
met_per_mg_leaf_glucose,0.929390650461017,0.3223772039361388,leaf,0.9897297245607107,0.7274152293943644,FALSE
met_per_mg_leaf_gluconic acid lactone,0.4200020961119898,0.03978235654576869,leaf,0.8644348440773273,0.25146982645672983,FALSE
met_per_mg_leaf_gluconic acid,0.9913510415123701,0.08755899799555239,leaf,0.996927616462273,0.3426161930830524,FALSE
met_per_mg_leaf_glucoheptulose,0.8196278858723125,0.5786919511793491,leaf,0.9428399210034444,0.8733770295700142,FALSE
met_per_mg_leaf_galactonic acid,0.7223566290692214,0.5167001725639193,leaf,0.9016650121715104,0.8427104298982205,FALSE
met_per_mg_leaf_galactinol,0.5636199091163403,0.45305170730069555,leaf,0.8712913912168124,0.8054252574234587,FALSE
met_per_mg_leaf_fumaric acid,0.5044819172750586,0.06678346580850188,leaf,0.8684519470701683,0.3197559327588092,FALSE
met_per_mg_leaf_fucose,0.08732462945279565,0.7697217348107014,leaf,0.4802854619903761,0.9000220854524917,FALSE
met_per_mg_leaf_fructose-6-phosphate,0.366880731995717,0.007957830781291107,leaf,0.8278334465544384,0.17507227718840435,FALSE
met_per_mg_leaf_fructose,0.8496575086675061,0.7999320226836648,leaf,0.9470470151512713,0.9000220854524917,FALSE
met_per_mg_leaf_ferulic acid,0.5011407520065418,0.014356651726961867,leaf,0.8684519470701683,0.21056422532877406,FALSE
met_per_mg_leaf_ethanolamine,0.6145579084028245,0.8950769694046701,leaf,0.8712913912168124,0.9547487673649814,FALSE
met_per_mg_leaf_erythrose,0.2861234808245887,0.5756343130312506,leaf,0.7405548915459944,0.8733770295700142,FALSE
met_per_mg_leaf_erythronic acid lactone,0.5377623003990699,0.503414364095363,leaf,0.8712913912168124,0.8425748687834721,FALSE
met_per_mg_leaf_erythronic acid,0.07135742425212632,0.12987609142383158,leaf,0.4802854619903761,0.43958061712681457,FALSE
met_per_mg_leaf_erythritol,0.391158828626366,0.21785047779724437,leaf,0.8499253560276594,0.599088813942422,FALSE
met_per_mg_leaf_epsilon-caprolactam,0.03360131352081133,0.3006973462527264,leaf,0.4802854619903761,0.7151720667632413,FALSE
met_per_mg_leaf_dihydroxyacetone,0.9496253140504892,0.10543166763098094,leaf,0.9897297245607107,0.38658278131359675,FALSE
met_per_mg_leaf_dehydroascorbic acid,0.2777400906599136,0.021579407368249245,leaf,0.7405548915459944,0.22875438327663908,FALSE
met_per_mg_leaf_dehydroabietic acid,0.06818130699165482,0.30645390853779364,leaf,0.4802854619903761,0.7191451720353558,FALSE
met_per_mg_leaf_cyano-l-alanine,0.04676886642562644,0.08954741410125233,leaf,0.4802854619903761,0.3426161930830524,FALSE
met_per_mg_leaf_cyanoalanine,0.04363156612215069,0.13751486439395433,leaf,0.4802854619903761,0.44175063277309135,FALSE
met_per_mg_leaf_coniferin NIST,0.08086666694444755,0.7597767349041585,leaf,0.4802854619903761,0.9000220854524917,FALSE
met_per_mg_leaf_citric acid,0.0915988367695103,0.10132729847231992,leaf,0.4885271294373883,0.37943839427932563,FALSE
met_per_mg_leaf_citramalic acid,0.3029974752236235,0.07945560464151814,leaf,0.7435090953712425,0.3414016685259204,FALSE
met_per_mg_leaf_cis-sinapinic acid,0.045261623270864214,0.0690382127547429,leaf,0.4802854619903761,0.3197559327588092,FALSE
met_per_mg_leaf_cis-caffeic acid,0.7929905658015951,0.7837658644845559,leaf,0.9309598010580195,0.9000220854524917,FALSE
met_per_mg_leaf_chlorogenic acid,0.4582459388801796,0.7912853074169901,leaf,0.8644348440773273,0.9000220854524917,FALSE
met_per_mg_leaf_cellobiose,0.15683572114096841,0.5704995087034584,leaf,0.5750643108502175,0.8733770295700142,FALSE
met_per_mg_leaf_capric acid,0.07912115245253706,0.42072357541749883,leaf,0.4802854619903761,0.7877377582285084,FALSE
met_per_mg_leaf_butyrolactam NIST,0.8088440943960329,0.6538899705937887,leaf,0.9365563198269855,0.8990987095664595,FALSE
met_per_mg_leaf_beta-sitosterol,0.03246484517323292,0.8462736779827443,leaf,0.4802854619903761,0.9194084402775493,FALSE
met_per_mg_leaf_beta-gentiobiose,0.6814854608320176,0.03861433968460166,leaf,0.8952146821634348,0.25146982645672983,FALSE
met_per_mg_leaf_beta-alanine,0.07219991727343085,0.8296094543226242,leaf,0.4802854619903761,0.9141236379057534,FALSE
met_per_mg_leaf_benzoic acid,0.052578869326701604,0.5829829255860426,leaf,0.4802854619903761,0.8733770295700142,FALSE
met_per_mg_leaf_aspartic acid,0.7978574019398074,0.1666715349314882,leaf,0.9309598010580195,0.5145289781119884,FALSE
met_per_mg_leaf_asparagine,0.6505752050237513,0.029741412506600864,leaf,0.8807787391090788,0.22875438327663908,FALSE
met_per_mg_leaf_aminomalonate,0.20809642442667192,0.07943670828046596,leaf,0.6782191344168877,0.3414016685259204,FALSE
met_per_mg_leaf_alpha-ketoglutarate,0.38483924051849605,0.20888641852722575,leaf,0.8466463291406914,0.5929678977547054,FALSE
met_per_mg_leaf_alpha-aminoadipic acid,0.9944259942719471,0.7364328349622348,leaf,0.996927616462273,0.9000220854524917,FALSE
met_per_mg_leaf_allantoic acid,0.03252502615108986,0.8021707134118796,leaf,0.4802854619903761,0.9000220854524917,FALSE
met_per_mg_leaf_alanine-alanine,0.7656509638135838,0.5660464447700889,leaf,0.9309598010580195,0.8733770295700142,FALSE
met_per_mg_leaf_alanine,0.05082545425592802,0.02857244794052981,leaf,0.4802854619903761,0.22875438327663908,FALSE
met_per_mg_leaf_adenosine,0.955988938496141,0.704082027614946,leaf,0.9897297245607107,0.9000220854524917,FALSE
met_per_mg_leaf_adenine,0.7987211929531872,0.003587453874433829,leaf,0.9309598010580195,0.1456845971615751,FALSE
met_per_mg_leaf_aconitic acid,0.21579699731446428,0.4600789877460322,leaf,0.6782191344168877,0.8097390184330167,FALSE
met_per_mg_leaf_6-deoxyglucose,0.08195720206038924,0.43215835551484905,leaf,0.4802854619903761,0.800630216532773,FALSE
met_per_mg_leaf_5'-deoxy-5'-methylthioadenosine,0.02650828436770192,0.7429101573609698,leaf,0.4802854619903761,0.9000220854524917,FALSE
met_per_mg_leaf_5-aminovaleric acid,0.5247896445111766,0.917392763517822,leaf,0.8712913912168124,0.9726573878261245,FALSE
met_per_mg_leaf_4-hydroxybutyric acid,0.9813729786478435,0.7002969441923368,leaf,0.996927616462273,0.9000220854524917,FALSE
met_per_mg_leaf_4-hydroxybenzoate,0.49808725417984934,0.5998156456532412,leaf,0.8684519470701683,0.8871222994535333,FALSE
met_per_mg_leaf_4-aminobutyric acid,0.9505049037224156,0.6253492772238545,leaf,0.9897297245607107,0.8948087218812877,FALSE
met_per_mg_leaf_3-hydroxypropionic acid,0.6082258209537743,0.3539156792851881,leaf,0.8712913912168124,0.7489722501497669,FALSE
met_per_mg_leaf_3-hydroxy-3-methylglutaric acid,0.14451479014857624,0.34236928473369876,leaf,0.5411617673648812,0.7489722501497669,FALSE
met_per_mg_leaf_3-aminoisobutyric acid,0.09915169086184457,0.6413462248713975,leaf,0.4985913597624184,0.8958486950584599,FALSE
"met_per_mg_leaf_3,4-dihydroxycinnamic acid",0.5155118934350053,0.02083383670144873,leaf,0.8712913912168124,0.22875438327663908,FALSE
met_per_mg_leaf_2-ketoisocaproic acid,0.721987951659661,0.05170533433976192,leaf,0.9016650121715104,0.2759366015208334,FALSE
met_per_mg_leaf_2-ketoglucose dimethylacetal NIST,0.0343808025090455,0.08326006687061978,leaf,0.4802854619903761,0.3414016685259204,FALSE
met_per_mg_leaf_2-hydroxyglutaric acid,0.24648734588669707,0.25075689815100494,leaf,0.7104824405420779,0.6521627277173065,FALSE
met_per_mg_leaf_2'-deoxyguanosine,0.07572110846847906,0.8323013029729425,leaf,0.4802854619903761,0.9141236379057534,FALSE
met_per_mg_leaf_2-aminobutyric acid,0.5758461742073243,0.6242478048898461,leaf,0.8712913912168124,0.8948087218812877,FALSE
"met_per_mg_leaf_2,5-dihydroxypyrazine NIST",0.5821923108092479,0.05173811278515626,leaf,0.8712913912168124,0.2759366015208334,FALSE
"met_per_mg_leaf_2,3-dihydroxybutanoic acid NIST",0.1248451077065069,0.3759835073223703,leaf,0.5231604513415528,0.7583232307953427,FALSE
met_per_mg_leaf_1-monostearin,0.0822414687285569,0.9810176532950471,leaf,0.4802854619903761,0.99229371827545,FALSE
met_per_mg_leaf_1-monopalmitin,0.6255177845528952,0.5171177638011808,leaf,0.8712913912168124,0.8427104298982205,FALSE
met_per_mg_leaf_1-methylgalactose NIST,0.9626635310781197,0.9287325480615664,leaf,0.9908115875423922,0.9729579074930695,FALSE
met_per_mg_leaf_1-kestose,0.28577658680266294,0.7270153320854467,leaf,0.7405548915459944,0.9000220854524917,FALSE
